news,label
चाहत्याने खांद्यावर हात ठेवताच सोनू निगमने केलं असं काही की सारेच झाले अवाक्,0
चाहत्याने खांद्यावर हात ठेवताच सोनू निगमने असे काही केले की सगळे अवाक झाले,0
चाहत्याने खांद्यावर हात ठेवताच सोनू निगमने असे काही केले की सगळे अवाक झाले,0
जळगावातल्या त्या नरभक्षक बिबट्याने आतापर्यंत घेतलेत 6 बळी,2
जळगावातील त्या मानवभक्षी बिबट्याने आतापर्यंत ६ बळी घेतले आहेत,2
जळगावातील त्या मानवभक्षी बिबट्याने आतापर्यंत ६ बळी घेतले आहेत,2
मराठवाड्यात पावसाचं कमबॅक  मुंबईसह राज्यातही संततधार,2
मुंबईसह मराठवाड्यात पावसाचे पुनरागमन सुरूच आहे,2
मुंबईसह राज्यात मराठवाड्यात पावसाचे पुनरागमन सुरूच आहे,2
हृतिक करतोय बायोपिक सुपर 30,0
हृतिक टॉप-नॉच 30 हा बायोपिक करत आहे,0
हृतिक स्प्लेंडिड ३० हा बायोपिक करत आहे,0
महाराष्ट्राची सुवर्णकन्या तेजस्विनी सावंतचं पुणे विमानतळावर जोरदार स्वागत,1
महाराष्ट्राची सुवर्ण कन्या तेजस्विनी सावंत हिचे पुणे विमानतळावर जंगी स्वागत करण्यात आले,1
महाराष्ट्राची सुवर्णकन्या तेजस्विनी सावंत हिचे पुणे विमानतळावर जंगी स्वागत करण्यात आले,1
दुसऱ्याच आठवड्यात पद्मावतचा 200 कोटींचा टप्पा पार,0
पद्मावतने दुसऱ्या आठवड्यातच २०० कोटींचा गल्ला पार केला,0
पद्मावतने दुसऱ्या आठवड्यातच २०० कोटींचा टप्पा पार केला,0
नागराजच्या आयुष्याची गोष्ट नाळ,0
नागराजच्या आयुष्यातील नाला कथा,0
नागराजच्या आयुष्यातील नाला गाथा,0
आपला मानूसच्या हिंदी रिमेकमध्ये सोनाक्षी सिन्हा,0
'आपा पंजा'च्या हिंदी रिमेकमध्ये सोनाक्षी सिन्हा,0
आपा मानुसाच्या हिंदी रिमेकमध्ये सोनाक्षी सिंग,0
चंद्रकांत गुडेवार यांची अखेर बदली,2
Chandrakant Gudewar is lastly replaced,2
Chandrakant Gudewar is finally superseded,2
ढिंच्याक पूजाचा पाकिस्तानी चाहता सेल्फी मैंनेचं केलं रॅप साँग,0
धिनक पूजाचे पाकिस्तानी फॅन सेल्फी मैनेचेन पॅट गाणे,0
धिनक पूजाचे पाकिस्तानी व्हेंटिलेटर सेल्फी मैनेचन रॅप गाणे,0
राज्यात प्रचाराच्या तोफा थंडावल्या गुरुवारी अखेरची परीक्षा,2
राज्यात प्रचाराचा टारपीडो थंडावल्याने गुरुवारी अंतिम परीक्षा,2
राज्यात प्रचाराच्या तोफा थंडावल्या असतानाच शुक्रवारी अंतिम परीक्षा,2
पुण्याचा कारभारी कोण  दादा का भाऊ ,2
"Who is the steward of Pune, pop Ka Bhau?",2
"पुण्याचा कारभारी कोण, डॅडी का भाऊ?",2
जस्टिस लोया यांचा मृत्यू ह्रदयविकारानंच नागपूर पोलिसांचं स्पष्टीकरण,2
"न्यायमूर्ती लोया यांचे निधन हृदयविकाराच्या झटक्याने झाले, असे नागपूर पोलिसांनी स्पष्ट केले",2
"न्यायमूर्ती लोया यांचा मृत्यू हृदयविकाराच्या झटक्याने झाला, असे नागपूर पोलिसांनी स्पष्ट केले",2
मायकल शूमाकर कोमातून बाहेर,1
मायकेल शूमाकर अस्वस्थतेतून बाहेर,1
मायकेल शूमाकर खात नाही,1
उद्धव ठाकरेंच्या नाणारमधल्या  सभेवर प्रकल्पग्रस्तांचा बहिष्कार,2
Project victims boycott Uddhav Thackeray's assemble in Nanar,2
Projects victims boycott Uddhav Thackeray's meeting in Nanar,2
सोलापुरात प्रेमी युगुलांना एबीव्हीपीच्या कार्यकर्त्यांची मारहाण,2
सोलापुरात अभाविपच्या कार्यकर्त्यांकडून प्रेमीयुगुलांची खडी,2
सोलापुरात अभाविपच्या कार्यकर्त्यांनी प्रेमीयुगुलांचा उच्छाद मांडला,2
आयसीसीच्या कार्याध्यक्षपदी एन श्रीनिवासन,1
एन श्रीनिवासन आयसीसीचे कार्यकारी अध्यक्ष,1
एन श्रीनिवासन आयसीसीचे कार्यकारी अध्यक्ष म्हणून,1
नागपूर की गुन्हेपूर  महिन्याभरात 3 सामूहिक बलात्काराच्या घटना,2
नागपूर आणि ग्रिमपूरमध्ये महिनाभरात सामूहिक बलात्काराच्या घटना घडल्या,2
नागपूर आणि ग्रीमपूरमध्ये महिनाभरात सामूहिक बलात्काराच्या तीन घटना,2
ऐ दिल है मुश्किल VS शिवाय बॉक्स ऑफिसवर आज चुरस,0
ए दिल है मुश्कील या चित्रपटाने आज बॉक्स ऑफिसवर कमाई केली,0
ए दिल है मुश्कील वा शिवाय आज बॉक्स ऑफिसवर,0
VIDEO  कोल्हापुरात राडा पोलिसांनी केला शेतकऱ्यांवर लाठीमार,2
टेलिव्हिजन राडा पोलिसांनी कोल्हापुरात शेतकऱ्यांना मारहाण केली,2
कोल्हापुरात राडा पोलिसांनी शेतकऱ्यांना मारहाण केली व्हिडीओ टेप,2
87वं अभासाहित्य संमेलन 3 जानेवारीला,2
3 जानेवारी रोजी 87 वी नॉन-फिक्शन लीग,2
3 जानेवारी रोजी 87 वे गैर-काल्पनिक व्याख्यान,2
नागपुरात अपघातग्रस्तांना वाचवण्यासाठी शरद पवार स्वतः धावून गेले,2
नागपुरातील अपघातग्रस्तांना वाचवण्यासाठी खुद्द शरद पवार नेतृत्व करतात,2
नागपुरातील अपघातग्रस्तांना वाचवण्यासाठी खुद्द शरद पवार धावले,2
पुणे विकास आराखड्यावरुन रणकंदन काँग्रेसभाजपचा विरोध,2
पुणे शोषण योजनेवर रणकंदन काँग्रेस भाजपचा विरोध,2
पुण्याच्या विकास योजनांना रणकंदन काँग्रेस भाजपचा विरोध,2
औरंगाबादेत 108 रुग्णवाहिकेचे डॉक्टर आणि चालक संपावर,2
औरंगाबादमध्ये 108 रुग्णवाहिका डॉक्टर आणि चालक नळावर,2
औरंगाबादमध्ये 108 रुग्णवाहिका डॉक्टर आणि चालक संपावर,2
दारूच्या बाटल्यांमुळे विधान भवन परिसरात तुंबलं पाणी,2
दारूच्या बाटल्यांमुळे विधानभवन परिसरात पाणी साचले,2
दारूच्या बाटल्यांमुळे विधानभवन परिसरात पाणी साचले,2
छगन भुजबळ ईडीच्या आॅफिसमध्ये पोहचले चाैकशी सुरू,2
छगन भुजबळ यांनी ईडीच्या कार्यालयात धाव घेत तपासाला सुरुवात केली,2
छगन भुजबळ यांनी ईडीचे कार्यालय गाठून तपास हाती घेतला,2
 हिच्यापुढे धोनी विराटचे रेकॉर्डही पडतील फिके कोण आहे ही महिला खेळाडू,1
धोनी आणि विराटचे रेकॉर्ड तिच्यासमोर शरणागती पत्करतील. कोण आहे ही महिला खेळाडू?,1
धोनी आणि विराटचे रेकॉर्ड तिच्यापुढे पडतील. कोण आहे ही महिला खेळाडू?,1
मुख्यमंत्र्यांच्या नागपुरात चाललंय काय गुंडाने काढली प्रजासत्ताक दिनी रॅली,2
"मुख्यमंत्र्यांच्या नागपुरात काय सुरू आहे, प्रजासत्ताक दिनाची रॅली गुंडांनी काढली",2
"मुख्यमंत्र्यांच्या नागपुरात काय चालले आहे, प्रजासत्ताक दिनाची रॅली काढण्यात आली गुंडगिरी",2
न्यूज 18 लोकमतचा दणका पाच तासात गोदावरीतले अवैध होर्डिंग हटवले,2
intelligence 18 Lokmat Bang Illegal hoardings in Godavari removed in five hours,2
News 18 Lokmat Bang Illegal hoardings in Godavari removed in fifth hours,2
युती करा आणि अडीच अडीच वर्षे वाटून घ्या मागोवैद्य,2
"युतीचे नाटक करा आणि अडीच वर्षे वाटून घ्या, मगविडिया",2
"एक युती करा आणि डेक्स आणि दीड वर्षे शेअर करा, मॅगाविडिया",2
सरकारचं नाक दाबलं तरच तोंड उघडतं शेतकऱ्यांची दोन वर्षातील आंदोलनं,2
सरकारने नाक दाबले तरच दोन वर्षांपासून शेतकऱ्यांच्या आंदोलनाची तोंडे उघडतात,2
सरकारने नाक दाबले तरच दोन वर्षांपासून शेतकऱ्यांच्या आंदोलनाची तोंडे उघडतात,2
युती तुटली तर पुन्हा निवडणुका राष्ट्रवादीचा इशारा,2
युती तुटल्यास पुन्हा निवडणूक घेण्याचा राष्ट्रवादीचा इशारा,2
युती तुटल्यास पुन्हा निवडणुकीचा राष्ट्रवादीचा अल्टिमेटम,2
मेक्सिकोने ब्राझीलला रोखले मॅच ड्रॉ ,1
मेक्सिकोने ब्राझीलला सामना बरोबरीत रोखला,1
मेक्सिकोने ब्राझीलचा सामना अनिर्णित राखला,1
निवडणुकीत मालमत्तेची माहिती लपवल्याप्रकरणी आमदार  बच्चू कडूंवर गुन्हा दाखल,2
निवडणुकीच्या काळात मालमत्तेची माहिती लपवल्याप्रकरणी आमदार बच्चू कडू यांच्यावर गुन्हा दाखल करण्यात आला आहे,2
निवडणुकीच्या काळात मालमत्तेची माहिती लपवल्याप्रकरणी आमदार बच्चू कडू यांच्याविरोधात गुन्हा दाखल करण्यात आला आहे,2
रेशन दुकानदाराला काळाबाजारी पडली महागात गावकर्‍यांनी काढली नग्न धिंड,2
रेशन दुकानदार काळ्याबाजारात उतरतो,2
रेशन दुकानदार काळ्याबाजारात बुडाला,2
डॅडीमध्ये अर्जुन रामपाल डॅडीफरहानची भूमिका नाही,0
दादी फरहानची भूमिका अर्जुन रामपालकडे नाही,0
डॅडीमध्ये अर्गोन रामपालची दादी फरहानची भूमिका नाही,0
VIDEO राणेंची पक्षातून हकालपट्टी करा कोकणातील भाजप नेत्याची मागणी,2
"राणेंची पक्षातून हकालपट्टी, कोकणातील भाजप नेत्यांची मागणी",2
"VIDEOTAPE राणेंची पक्षातून हकालपट्टी करा, कोकणातील भाजप नेत्याची मागणी",2
  टायगर श्रॉफशी झालेल्या ब्रेकअपनंतर दिशा कुठे होती गायब,0
टायगर श्रॉफसोबत ब्रेकअप झाल्यानंतर दिशा कुठे हवी होती,0
टायगर श्रॉफसोबत ब्रेकअप झाल्यानंतर दिशा कुठे गायब झाली होती,0
पुण्यात मनसे नगरसेविका रुपाली पाटील यांच्यावर हाणामारीचा आरोप,2
"In Pune, Mn corporator Rupali Patil has been accused of fighting",2
"In Pune, MNS corporator Rupali Patil has been convicted of fighting",2
बावरा मनचे सोनेरी क्षण,0
बावरा मानाचा गोल्डन मिनिट,0
बावरा मनाचे सोनेरी क्षण,0
मुंबई पुणे एक्स्प्रेस वेवर दोन दिवस ब्लॉक,2
मुंबई पुणे द्रुतगती मार्गावर दोन दिवसांचा ब्लॉक,2
बंगळुरू पुणे द्रुतगती मार्गावर दोन दिवस मेगाब्लॉक,2
डॉ मनमोहन सिंगांवरच्या सिनेमात सुझान बरनर्ट साकारणार सोनियांची भूमिका,0
डॉ मनमोहन सिंग यांच्या चित्रपटात सुझान बार्नर्ट सोनियांची भूमिका साकारणार आहे,0
डॉ मनमोहन सिंग यांच्या चित्रपटात सुझान बार्नर्ट सोन्याची भूमिका साकारणार आहे,0
क्रिकेट जगतात नवा वाद  ऑस्ट्रेलियाचा खेळाडू मोईनला म्हणाला होता ओसामा,1
ऑस्ट्रेलियन खेळाडूने मोईन अर्थात ओसामाला म्हटल्याने जागतिक क्रिकेटमध्ये नवा वाद निर्माण झाला आहे,1
"ऑस्ट्रेलियन खेळाडूने मोईन, ओसामाला म्हटल्याने क्रिकेट जगतात एक अभिनव वाद निर्माण झाला होता",1
अण्णांची प्रकृती खालावली,2
अण्णांचा विचार बिघडला,2
अण्णांची प्रकृती बिघडली,2
मुंबईसह सांगली सोलापूरकरांचं टोल नाय देणार ,2
सोलापूरचा टोल मुंबई आणि सांगलीला मिळणार नाही,2
मुंबई आणि सांगली सोलापूरचा टोल भरणार नाही,2
पोलिसांना पाहुन पळाले अन् पितळ उघडे पडले ,2
पोलिसांना समजताच तो पळून गेला आणि त्याचे पितळ उघडे पडले,2
पोलिसांना पाहताच तो पळून गेला आणि त्याचे पितळ उघडे पडले,2
VIDEO पंकजा मुंडेंनी केलं शरद पवारांचं कौतुक म्हणाल्या पवारसाहेब या अभिनेत्यासारखे,2
"Video पंकजा मुंडेंनी केले शरद पवारांचे कौतुक, एव्हर पॉवरसाहेब एखाद्या अभिनेत्यासारखे",2
"VIDEOTAPED Pankaja Munde praised Sharad Pawar, said Pawarsaheb like an actor",2
पुणतांब्यात शेतकऱ्यांनी सरकारचं घातलं दहावं,2
पुणतांब्यात शेतकरी सरकारच्या दहावीची व्यवस्था करतात,2
पुणतांब्यावर शेतकऱ्यांनी सरकारचा दहावा घातला,2
फडणवीस सरकारच्या या मंत्र्याचा बंगला बेकायदेशीर काय आहे प्रकरण ,2
फडणवीस सरकारच्या मंत्र्याचा बंगला बेकायदेशीर कारण आहे,2
फडणवीस सरकारच्या मंत्र्याच्या बंगल्यावर बेकायदा खटले सुरू आहेत,2
Mauni Amavasya 2019 या दिवशी ब्रह्मा विष्णु आणि महेशही लावतात संगमात डुबकी अमृत होतं पाणी,0
मौनी अमावस्या 2019 च्या या दिवशी ब्रह्मा विष्णू आणि महेश यांची देखील पूजा केली जाते.,0
मौनी अमावस्या 2019 च्या या दिवशी ब्रह्मा विष्णू आणि महेश यांची देखील पूजा केली जाते.,0
धनगर आरक्षण समितीच्या कार्यकर्त्यांनी उपोषण सोडलं,2
Workers of Dhangar Reservation Committee live on hunger strike,2
धनगर आरक्षण समितीचे कार्यकर्ते बेमुदत संपावर गेले,2
मेरील स्ट्रीपला 20वं आॅस्कर नामांकन,0
मेरील स्ट्रीपचे विसावे ऑस्कर नामांकन,0
मेरील स्ट्रीपची 20 वी ऑस्कर उमेदवारी,0
बिग बाॅसचा राडा सलमानच्या विरोधात पोलिसात तक्रार दाखल,0
बिग बॉसच्या राधा सलमानविरोधात कायद्याची तक्रार दाखल करण्यात आली आहे,0
बिग बॉसच्या राधा सलमानविरोधात पोलिसांत तक्रार दाखल करण्यात आली आहे,0
शनि चौथर्‍यावरील महिला प्रवेशाचा मार्ग अखेर मोकळा,2
शनी चौथऱ्यावर महिला प्रवेशाची शैली अखेर स्पष्ट झाली आहे,2
शनी चौथऱ्यावर महिला प्रवेशाचे मार्ग अखेर मोकळे झाले आहेत,2
बाहुबली2 पाहिला नाही म्हणून कामावरून काढून टाकलं,0
बाहुबली २ न पाहिल्यामुळे मी विस्थापित झालो,0
बाहुबली २ मध्ये न दाखवल्यामुळे मला काढून टाकण्यात आले,0
गडचिरोलीत माओवाद्यांच्या भूसुरुंग स्फोटात 12 जवान जखमी,2
गडचिरोलीत माओवाद्यांच्या भूसुरुंग स्फोटात १२ जवान जखमी,2
गडचिरोलीत माओवाद्यांच्या भूसुरुंगाच्या स्फोटात १२ जवान जखमी,2
लिफ्ट देऊन रिक्षाचालकानेच केला अल्पवयीन मुलीवर बलात्कार,2
एका बालिकेवर रिक्षाचालकाने लिफ्टचे आमिष दाखवून बलात्कार केला,2
एका अल्पवयीन मुलीवर रिक्षाचालकाने लिफ्टरचे आमिष दाखवून बलात्कार केला,2
मराठी बॉक्स क्रिकेट लीगच्या निमित्ताने,0
मराठी बॉक्स क्रिकेट लीगच्या निमित्ताने,0
मराठी बॉक्स क्रिकेट लीगच्या निमित्ताने,0
नवाजुद्दीनवर त्याच्या पहिल्या गर्लफ्रेंडनं ठोकला 2 कोटींचा दावा,0
नवाजुद्दीनच्या पहिल्या प्रेयसीने 2 कोटींचा दावा दाखल केला,0
नवाजुद्दीनच्या पहिल्या प्रेयसीने 2 कोटींचा आरोप केला आहे,0
3 इडियट्सचे फुंसुक वांगडू केबीसीमध्ये जिंकले 50 लाख,0
थ्री इडियट्सच्या फुन्सुक वांगडूने केबीसीमध्ये ५० लाख जिंकले,0
3 इडियट्सच्या फुन्सुक वांगडूने केबीसीमध्ये 50 लाख जिंकले,0
ना ऐश्वर्याना माधुरी केबीसी 9चं सूत्रसंचालन करणार अमिताभ बच्चनच ,0
ऐश्वर्या माधुरी किंवा अमिताभ बच्चन दोघेही केबीसी नाइन होस्ट करणार नाहीत,0
ऐश्वर्या माधुरी किंवा अमिताभ बच्चन दोघेही KBC 9 होस्ट करणार नाहीत,0
एकाच साच्यातून चार रिव्हॉल्वर  चार जणांचा खून,2
चार रिव्हॉल्व्हर एकाच साच्यातून चार लोकांना नष्ट करतात,2
एकाच साच्यातून चार रिव्हॉल्व्हरने चार जणांची हत्या केली,2
3 चेहरेमध्ये प्राजक्ता माळी मिलिंद जोशी आणि आतिषा नाईक,0
Prajakta Malin Milind Joshi and Atisha Naik in 3 aspect,0
Prajakta Malin Milind Joshi and Atisha Nike in 3 faces,0
ऊस दर आंदोलनमुख्यमंत्री घेणार राजू शेट्टींची भेट,2
ऊस दार आंदोलनाचे प्रमुख पार्सन राजू शेट्टी यांची भेट घेणार आहेत,2
ऊस दार आंदोलन मुख्यमंत्री राजू शेट्टी पूर्ण करणार,2
कोलकाता जितबो रे दिल्लीवर शानदार विजय,1
कोलकाता जितबो रे दिल्लीवार नाट्यमय विजयी,1
कोलकाता जितबो रे दिल्ली अप्रतिम विजयी,1
साहित्य संमेलनाची ग्रंथदिंडी,2
साहित्य संमेलनाची ग्रंथसूची,2
साहित्य संमेलनाची ग्रंथसूची,2
वीरपत्नी स्वाती महाडिक लेफ्टनंटपदी रुजू,2
Veerpatni Swati Mahadik juncture as Lt,2
लेफ्टनंट म्हणून वीरपत्नी स्वाती महाडिक सहभागी झाले आहेत,2
धोनी ब्रिगेड विराट सेनेवर भारी चेन्नई पहिल्या स्थानावर ,1
विराट सेना चेन्नईवर धोनी ब्रिगेडचे पारडे जड,1
"धोनी ब्रिगेडवर विराट सेनेचे पारडे जड, चेन्नई अव्वल डाग",1
पोटच्या मुलीशी अनैतिक संबंध असल्याच्या संशय जातपंचायतीची आमानुष शिक्षा,2
गेज मुलीशी अनैतिक संबंध असल्याच्या संशयावरून जात पंचायतीने फाशीची शिक्षा,2
पोटच्या मुलीशी अनैतिक संबंध असल्याच्या संशयावरून जात पंचायतीने मरणासन्न दंड,2
ठाण्याच्या महापौरपदी शिवसेनेच्या संजय मोरेंची निवड,2
ठाण्याच्या महापौरपदी शिवसेनेचे संजय मोरे यांची निवड,2
ठाण्याच्या महापौरपदी शिवसेनेचे संजय मोरे यांची निवड,2
कर्जाला कंटाळून शेतकरी भावांची आत्महत्या,2
कर्जबाजारीपणामुळे शेतकरी बांधव आत्मदहन करतात,2
शेतकरी भावंड कर्जामुळे आत्महत्या करतात,2
गायक अभिजीतची ट्विटरनं केली बोलती बंद,0
गायक अभिजितच्या ट्विटरवर बडबड थांबली आहे,0
गाणे अभिजितची ट्विटरवर बोलतीच बंद झाली आहे,0
Election 2019  शरद पवारांनी माढ्यातून माघार घेण्याची ही आहेत 5 कारणं,2
निवडणूक 2019 शरद पवारांना मढातून रांगा मारण्याची ही 5 कारणे आहेत,2
निवडणूक 2019 शरद पवारांनी माघार घेण्याची ही 5 कारणे आहेत,2
कोण होणार कोल्हापूरचा सुभेदार ,2
WHO कोल्हापूरचे सुभेदार होणार,2
कोणाचा असेल कोल्हापूरचा सुभेदार,2
बाहुबलीच्या कुंकवाची चित्तरकथा,0
बाहुबलीच्या कुंकवाची चित्तरकथा,0
बाहुबलीच्या कुंकवाची चित्तरकथा,0
युवकांसाठी फडणवीस सरकारचं भन्नाट दिवाळी गिफ्ट 4738 पदांवर होणार भरती,2
फडणवीस सरकारची तरुणांना दिवाळी भेट 4738 जागांसाठी होणार भरती,2
फडणवीस सरकारची तरुणांना दिवाळी भेट 4738 जागांसाठी भरती होणार,2
महाराष्ट्राचं मिनी काश्मीर गारठलं पारा 9 अंशाखाली,2
महाराष्ट्राचे मिनी काश्मीर 9 अंश सेल्सिअसच्या खाली घसरले,2
महाराष्ट्रातील मिनी काश्मीर 9 अंश सेल्सिअसच्या खाली घसरला,2
50 लाख लोकसंख्येचा देश वर्ल्ड कप खेळतो आणि आपण हिंदू मुस्लिम खेळतोय  हरभजन सिंग,1
50 लाख लोकसंख्येचा प्रदेश वर्ल्ड कप खेळतो आणि आम्ही हिंदू मुस्लिम हरभजन सिंग खेळतो,1
50 लाख लोकसंख्येचा देश विश्वचषक खेळतो आणि आम्ही हिंदू मुस्लिम हरभजन सिंग खेळतो,1
यात्रेकरूंच्या नातेवाईकांना अजितदादांनी ठेवलं ताटकळत,2
अजित दादांनी यात्रेकरूंच्या नातेवाईकांना रोखून धरले,2
अजित दादांनी यात्रेकरूंच्या नातेवाइकांना वेठीस धरले,2
गॅस सिलेंडरचा स्फोट कुटुंबातील चौघांचा होरपळून मृत्यू,2
गॅस सिलिंडरच्या स्फोटात एका कुटुंबातील चौघांचा मृत्यू,2
गॅस सिलिंडरचा स्फोट होऊन एकाच कुटुंबातील चौघांचा मृत्यू झाला,2
युती झाली नाही तर फटका बसणार भाजपच्या बैठकीत खासदारांची चिंता,2
"युती झाली नाही तर फटका बसणार, भाजपमधील खासदारांची चिंता पूर्ण",2
"युती झाली नसली तरी त्याचा फटका बसणार, भाजपच्या बैठकीत खासदारांची चिंता",2
महाआघाडीला इंजिन जोडण्यासाठी घड्याळ उत्सुक नांदगावकरांनी केलं हे सूचक वक्तव्य,2
हे सूचक विधान नांदगावकरांनी केले होते जे रडणाऱ्या युतीला इंजिन जोडण्यास उत्सुक होते.,2
महाआघाडीला इंजिन जोडण्यासाठी उत्सुक असलेल्या नांदगावकरांनी सूचक विधान केले होते.,2
कोपर्डी बलात्कार आणि खून खटल्यात तिन्ही आरोपी दोषी सिद्ध 21 नोव्हेंबरला सुनावणार शिक्षा,2
कोपर्डी बलात्कार आणि विटंबना प्रकरणात दोषी आढळलेल्या तिन्ही आरोपींना २१ नोव्हेंबरला शिक्षा सुनावण्यात येणार आहे.,2
कोपर्डी बलात्कार आणि खून प्रकरणात दोषी आढळलेल्या तिन्ही आरोपींना २१ नोव्हेंबरला शिक्षा सुनावण्यात येणार आहे,2
न्यूज18लोकमत इम्पॅक्ट  लाखो वारकऱ्यांसाठी चंद्रभागेत उजनी धरणातून सोडलं पाणी,2
News18 Lokmat Impact irrigate released from Ujani Dam in Chandrabhaga for lakhs of workers,2
News18 Lokmat Impact Water released from Ujani Dam in Chandrabhaga for lakhs of labourers,2
सांगलीकर स्मृतीकडे टीम इंडियाची कमान विश्वचषकाबद्दल म्हणते,1
सांगलीकर टीम भारतच्या कर्णधार स्मृती यांना विश्वचषकाबद्दल सांगतात,1
सांगलीकर टीम इंडियाची कॅप्टन स्मृतीला वर्ल्ड कपबद्दल सांगतात,1
संभाजी ब्रिगेडमध्ये फूटप्रवीण गायकवाड नव्या ब्रिगेडचे अध्यक्ष,2
"indium the Sambhaji Brigade, Futpraveen Gaikwad is the president of the new brigade",2
"In the Sambhaji Brigade, Fut Pravin Gaikwad is the president of the new brigade",2
आझादसाठी आमिर खान बनला सांता ,0
आमिर कारवांसरी आझादसाठी सांता झाला,0
आमिर खान आझादसाठी सांता झाला,0
बिनकामाचे संवादच्या निमित्तानं,0
न वापरलेल्या संप्रेषणाच्या फायद्यासाठी,0
निष्क्रीय संवादाच्या निमित्त,0
विराट नंबर  1,1
विराट बिट 1,1
विराट नंबर १,1
VIDEO  शेतकरी प्रश्नावरून राजू शेट्टींचा मुख्यमंत्री फडणवीसांवर गंभीर आरोप,2
VIDEO : शेतकरी प्रश्नावर राजू शेट्टींनी मुख्यमंत्री फडणवीसांवर केले खतरनाक आरोप,2
VIDEO : शेतकरी प्रश्नावर राजू शेट्टींनी नेते मंत्री फडणवीसांवर केले गंभीर आरोप,2
दाक्षिणात्य सुपरस्टार महेश बाबूने रचला इतिहास कोणताच बॉलिवूड कलाकार हे करू शकत नाही,0
दाक्षिणात्य सुपरस्टार महेश बाबूने इतिहास रचला आहे जो इतर कोणताही बॉलिवूड अभिनेता करू शकत नाही,0
दाक्षिणात्य सुपरस्टार महेश बाबू यांनी अशी ऐतिहासिक घडामोडी घडवून आणली आहेत जी इतर कोणताही बॉलिवूड अभिनेता करू शकत नाही,0
९७वं नाट्य संमेलन उस्मानाबादला होणार,0
97 वे नाट्य संमेलन उस्मानाबाद येथे होणार आहे,0
97 वे नाट्य संमेलन उस्मानाबाद येथे होणार आहे,0
ठाण्यात महिला पोलीस कॉन्स्टेबलची गळफास लावून आत्महत्या,2
ठाण्यात एका महिला पोलीस कॉन्स्टेबलने गळफास घेऊन आत्महत्या केली,2
ठाण्यात एका महिला पोलीस कॉन्स्टेबलने गळफास घेऊन आत्महत्या केली,2
बंजारा समाजाचा होळीचा जलसा,2
बंजारा समाजाचा होळी जलसा,2
बंजारा समाजाचा होली जलसा,2
गौरी आल्या घरामध्ये इशा केसकर,0
गौरीच्या घरी ईशा केसकरचा नंबर,0
ईशा केसकर गौरीच्या घरी आली,0
पारोळामध्ये छत कोसळून चौघांचा मृत्यू,2
