text,label
मुंबई पुलिस की अपराध शाखा को जांच सौंपी गई है। इस हादसे में तीन लोगों की मौत हो गई है.,1
ये वीडियो 30 मिनट का है और इसमें नकाब पहने आईएसआईएस के बदूंकधारी चरमपंथियों को युवाओं के एक समूह को ,2
30 मिनट के इस वीडियो में ISIS के लबादे में बंदूकधारी चरमपंथियों को युवाओं के एक समूह पर हमला करते हुए दिखाया गया है।,2
30 मिनट के वीडियो में नकाबपोश आईएसआईएस बंदूकधारी चरमपंथियों को युवाओं के एक समूह पर हमला करते हुए दिखाया गया है।,2
हर दौर में वोट के बाद मतदाताओं का सर्वेक्षण करने वाले तमाम एग्ज़िट पोल बता रहे हैं कि कांग्रेस पार्ट,1
हर दौर में वोट के बाद वोटरों का सर्वे कर रहे तमाम आउटलेट पोल यही बता रहे हैं कि कांग्रेस पार्टी,1
हर राउंड में वोट के बाद वोटर का सर्वे कर रहे सभी एग्जिट पोल यही बता रहे हैं कि कांग्रेस पार्टी,1
बीबीसी ने जब भारत के मंगलयान अभियान को लेकर एक विशेष श्रृंखला की योजना बनाई तो प्रोफ़ेसर यशपाल का ना,1
"जब बीबीसी ने भारत के मंगलयान मिशन, प्रोफेसर यशपाल पर एक असाधारण श्रृंखला की योजना बनाई",1
"जब बीबीसी ने भारत के मंगलयान मिशन पर एक ख़ास सीरीज़ पेश की, प्रोफेसर यशपाल",1
कुछ विशेषज्ञ कह रहे हैं कि उनके इंटरव्यू के बाद भाजपा का हौसला और भी बुलंद हो गया हैकुछ अन्य विश्लेष,1
कुछ विशेषज्ञ कह रहे हैं कि उनके इंटरव्यू के बाद बीजेपी का मनोबल और भी ऊंचा हो गया हैकुछ अन्य विश्लेषण,1
कुछ विशेषज्ञ कह रहे हैं कि उनके इंटरव्यू के बाद बीजेपी का मनोबल और भी ऊंचा हो गया हैकुछ अन्य विश्लेषण,1
नाडियाडवाला ग्रैंडसन और विंडो सीट फ़िल्म्स की हाईवे कहानी है एक ऐसी लड़की की जिसका अपहरण हो जाता है ,0
नाडियाडवाला के पोते और विंडो सीट फिल्म्स की हाइवे एक लड़की की कहानी है जिसका अपहरण कर लिया जाता है,0
नाडियाडवाला ग्रैंडसन्स और विंडो सीट फिल्म्स द्वारा हाईवे एक लड़की की कहानी है जिसका अपहरण कर लिया जाता है,0
एकाकी जीवन जी रही इन महिलाओं ने अपना एकल नारी शक्ति संगठन बनाया और अपने हक़ के लिए  स्वर मुखरित किएब,1
एकाकी जीवन जीते हुए इन महिलाओं ने अपना एकल महिला सूचकांक संगठन बनाया और अपने अधिकारों के लिए आवाज बुलंद की।,1
"जीवन एकाकी जीवन, इन महिलाओं ने अपना एकल बालिका शक्ति संगठन बनाया और अपने अधिकारों के लिए आवाज उठाई।",1
ये सुनने में अजीब सा लग सकता है क्योंकि भारत में स्थिति दूसरी है और हम जानते हैं कि आमिर शाहरुख और स,0
यह फोन अजीब हो सकता है क्योंकि भारत में स्थिति अलग है और हम जानते हैं कि आमिर शाहरुख और एस.,0
सुनने में यह अजीब लग सकता है क्योंकि भारत में स्थिति अलग है और हम जानते हैं कि आमिर शाहरुख और एस.,0
उन सबने बड़े सलीके से स्कूल यूनिफॉर्म पहन रखी हैं उनके स्कूल ड्रेस की ब्लाउज़ पर स्टार ऑफ़ डेविड की ,1
वे सभी अपने शोल ड्रेस ब्लाउज पर स्टार ऑफ डेविड के साथ स्कूल यूनिफॉर्म में बड़े करीने से तैयार हैं।,1
वे सभी अपने स्कूल ड्रेस ब्लाउज पर स्टार ऑफ डेविड्स के साथ स्कूल यूनिफॉर्म में बड़े करीने से तैयार हैं।,1
प्रधानमंत्री हिशाम कांदिल के मुताबिक ‘गज़ा में जो हालात हैं उन्हें देखकर चुप नहीं रहा जा सकता’प्रधान,2
"चॉइस मिनिस्टर हिशाम कांदिल के मुताबिक, 'गाजा के हालात पर खामोश नहीं रखा जा सकता'",2
"प्रधानमंत्री हिशाम कांदिल के मुताबिक, 'गाजा की स्थिति को खामोश नहीं रखा जा सकता'",2
इन चारों पर सामूहिक बलात्कार हत्या हत्या के प्रयास अप्राकृतिक कृत्य सबूत मिटाने और डकैती के आरोप थेद,1
"चारों पर गैंगरेप, हत्या, हत्या का प्रयास, अप्राकृतिक कृत्य, सबूत नष्ट करने और डकैती का आरोप लगाया गया था।",1
"चारों पर गैंगरेप, हत्या, हत्या के प्रयास, अप्राकृतिक कृत्यों, सबूतों को नष्ट करने और डकैती का आरोप लगाया गया था।",1
शनिवार देर रात उनका तबादला महाराष्ट्र से मिज़ोरम किया गया था लेकिन उन्होंने वहां जाने से इनकार कर दि,1
"देर रात उनका तबादला महाराष्ट्र से मिजोरम हो गया, लेकिन उन्होंने वहां जाने से मना कर दिया।",1
"उन्हें शनिवार देर रात महाराष्ट्र से मिजोरम स्थानांतरित कर दिया गया था, लेकिन उन्होंने वहां जाने से इनकार कर दिया।",1
लता ही नहीं उनकी बहन आशा भोसले के भी सबसे पसंदीदा गायक थे और उनका मानना है कि किशोर अपने गाने दिल और,0
"लता न केवल उनकी बहन आशा भोसले की अग्रणी गायिका थीं, बल्कि उनका मानना ​​है कि किशोर उनके दिल और भोसले गीतों में सर्वश्रेष्ठ गायक थे।",0
"लता न केवल उनकी बहन आशा भोसले की भी पसंदीदा गायिका थीं, और उनका मानना ​​है कि किशोर उनके गीतों दिल और भोसले में बेहतर गायक थे।",0
इसके तहत हर महीने पांच दिनों तक बहुत कम भोजन करने से मेरा वज़न घटा और मुझे भूख महसूस हुई मैंने कई बा,2
इसके तहत मैंने हर महीने 5 दिन बहुत कम खाना खाकर वजन कम किया और मुझे भूख भी लगने लगी।,2
इसके तहत मैंने पांच दिन हर महीने बहुत कम खाना खाकर वजन कम किया और मुझे भूख लगने लगी।,2
सोमवार को पार्टी अध्यक्ष पद के प्रस्तावित चुनाव के लिए नामांकन वापस लेने का आखिरी दिन था किसी ने राह,1
पार्टी अध्यक्ष पद के चुनाव के लिए सोमवार को नामांकन वापस लेने का अंतिम दिन था।,1
पार्टी अध्यक्ष पद के लिए प्रस्तावित चुनाव के लिए नामांकन वापस लेने का सोमवार को अंतिम दिन था।,1
ये शहर एक गहरी घाटी में स्थित है और सर्दी के छह महीनों में घिरे हुए पहाड़ों के कारण दोपहर में भी यहा,2
शहर एक रहस्यमय घाटी में स्थित है और सर्दियों के छह महीनों के दौरान आसपास के पहाड़ों के कारण दोपहर में भी नीला रहता है।,2
शहर एक गहरी घाटी में स्थित है और सर्दियों के छह महीनों के दौरान आसपास के पहाड़ों के कारण दोपहर में भी अंधेरा रहता है।,2
उधर अमरीकी विदेशमंत्री जॉन कैरी ने कहा है कि बातचीत में शामिल सभी पक्षों की राय है कि सीरिया की नई स,2
"दूसरी ओर, अमेरिकी विदेश मंत्री जॉन केरी ने कहा है कि वार्ता में शामिल सभी पक्षों की राय है कि नई सीरियाई सरकार",2
"दूसरी ओर, अमेरिकी विदेश मंत्री जॉन केरी ने जोर देकर कहा है कि बातचीत में शामिल सभी पक्षों की राय है कि नई सीरियाई सरकार",2
वायकॉम 18 मोशन पिक्चर्स केप ऑफ़ गुड फ़िल्म्स और अश्विन वर्दे की बॉस एक एक्शन फ़िल्म है जो पितापुत्र ,0
वायकॉम 18 मोशन पिक्चर्स केप ऑफ गुड फिल्म्स और अश्विन वर्दे की बॉस फादर सन की एक एक्शन फिल्म ट्रेन है,0
"वायकॉम 18 मोशन फोटोग्राफिक केप ऑफ गुड फिल्म्स और अश्विन वर्दे की बॉस एक एक्शन फिल्म है, जिसका निर्देशन फादर सन ने किया है।",0
भारत में कैंसर जैसी बीमारियों के मरीज़ों की संख्या में तेज़ी से बढ़ोतरी हो रही है हालांकि राहत की बा,1
"भारत में कैंसर जैसी बीमारियों के मरीजों की संख्या तेजी से बढ़ रही है, हालांकि राहत की जरूरत है।",1
"भारत में कार्सिनोमा जैसी बीमारी के मरीजों की संख्या तेजी से बढ़ रही है, हालांकि राहत की जरूरत है।",1
लेकिन कुछ लोग ऐसे हैं जिनकी रोज़ी रोटी ही शक पर चलती हैपतिपत्नी का एक दूसरे पर शक करना मांबाप का बच्,1
लेकिन कुछ लोग ऐसे भी होते हैं जिनकी रोजी-रोटी कूबड़ पर निर्भर करती है। पति-पत्नी एक-दूसरे पर शक करते हैं।,1
लेकिन कुछ लोग ऐसे भी होते हैं जिनकी रोजी-रोटी शक पर निर्भर करती है। पति-पत्नी एक-दूसरे पर शक करते हैं।,1
वैज्ञानिकों को जॉर्जिया में कुछ ऐसा मिला है जो इसकी तस्दीक करता है 8000 साल पुराने मिट्टी के मर्तबान,2
वैज्ञानिकों ने जॉर्जिया में कुछ ऐसा पाया है जो पुष्टि करता है कि यह 8000 साल का निश्चित-पर्याप्त मिट्टी का घड़ा है,2
जॉर्जिया में वैज्ञानिकों को कुछ ऐसा मिला है जो इस बात की पुष्टि करता है कि यह 8000 साल पुराना मिट्टी का घड़ा है,2
वो ख़ुशी से फूली नहीं समा रही थीं उम्मीद थी कि वो दूसरे के खेतों में काम करने वाले अपने मातापिता की ,1
"वह बहुत खुश थी, उसे उम्मीद थी कि वह दूसरे के क्षेत्र में काम करने वाले अपने माता-पिता की देखभाल करेगी।",1
"वह बहुत खुश थी, उम्मीद कर रही थी कि उसे दूसरे क्षेत्रों में काम करने वाले अपने माता-पिता की देखभाल करनी चाहिए।",1
50 वर्षीय पवन की आँखों पर दशकों तक इस्तेमाल में लाए गए रासायनिक रंगों का असर देखा जा सकता है लेकिन उ,1
50 साल के पवन के सेंटर पर दशकों से इस्तेमाल होने वाले रासायनिक रंगों का असर देखा जा सकता है.,1
50 साल के पवन की आंखों पर दशकों से इस्तेमाल होने वाले रासायनिक रंगों का असर देखा जा सकता है.,1
सरकार ने राज्यसभा में घोषणा की है कि वह इस मुद्दे पर जल्द ही सर्वदलीय बैठक बुला रही है सरकार ने यह भ,1
सरकार ने राज्यसभा में ऐलान किया है कि वह इस उभार पर जल्द ही सर्वदलीय बैठक बुला रही है।,1
सरकार ने राज्यसभा में ऐलान किया है कि वह जल्द ही इस मुद्दे पर सर्वदलीय बैठक बुला रही है।,1
एनबीसी को दिए एक साक्षात्कार के दौरान एडवर्ड स्नोडेन के पिता लॉन स्नोडेन ने कहा कि यदि उनके बेटे को ,2
"एनबीसी के साथ एक साक्षात्कार के दौरान, एडवर्ड स्नोडेन के पिता, लोन स्नोडेन ने कहा कि अगर उनका बेटा",2
"एनबीसी के साथ एक साक्षात्कार के दौरान, एडुआर्ड स्नोडेन के पिता, लोन स्नोडेन ने कहा कि अगर उनका बेटा",2
मैंने भी देखा है और हर बार याद किया है उन महिलाओं को जिन्होंने मुझे समझाया कि बच्चा पैदा करने में सक,1
एकता ने भी हर बार उन महिलाओं का सामना किया और याद किया जिन्होंने मुझे समझाया कि बच्चे को जन्म देने की संभावना है।,1
मैंने भी हर बार उस पत्नी को देखा और याद किया है जिसने मुझे समझाया था कि संतान प्राप्ति की संभावनाएं हैं।,1
सरकार को ये अंदेशा है कि सोशल मीडिया प्लेटफॉर्म्स के जरिए प्रदर्शनकारियों को एकजुट किया जा रहा है हा,2
सरकार को पता है कि सोशल मीडिया प्लेटफॉर्म के जरिए प्रदर्शनकारियों को एकजुट किया जा रहा है।,2
सरकार को आशंका है कि सोशल मीडिया प्लेटफॉर्म के जरिए प्रदर्शनकारियों को यूनिडोस किया जा रहा है।,2
कई विश्लेषक इसे भाजपा के प्रधानमंत्री पद के उम्मीदवार नरेंद्र मोदी की लहर से जोड़कर देख रहे हैं जबकि,1
कई विश्लेषक इसे भाजपा के प्रधानमंत्री पद के उम्मीदवार नरेंद्र मोदी की लहर से जोड़कर देख रहे हैं।,1
कई विश्लेषक इसे भाजपा के प्रधानमंत्री पद के उम्मीदवार नरेंद्र मोदी की तरंग दैर्ध्य से जोड़कर देख रहे हैं।,1
इमरान खान ने कहा है कि ये प्रदर्शन तब तक चलते रहेंगे जब तक कि पाकिस्तान के पश्चिमोत्तर प्रांत में अम,2
इमरान खान ने कहा है कि ये प्रदर्शन जारी रहेंगे क्योंकि पाकिस्तान के पश्चिमोत्तर प्रांत में शांति है.,2
इमरान खान ने कहा है कि ये प्रदर्शन तब तक जारी रहेंगे जब तक कि पाकिस्तान के दक्षिण-पश्चिम प्रांत में शांति नहीं हो जाती.,2
अभिनेता संजय दत्त पर बन रही दत्त नाम की बायोपिक में मनीषा संजय की मां नरगिस का किरदार निभाने जा रही ,0
मनीषा अभिनेता संजय दत्त पर दत्त नामक बायोपिक में संजय की मां नरगिस की भूमिका निभाने के लिए उत्साहित हैं।,0
मनीषा अभिनेता संजय दत्त की बायोपिक में संजय की पागल नरगिस का किरदार निभाने जा रही हैं।,0
एबट ने बीजिंग में कहा कि तलाश में जुटी टीमों ने खोज क्षेत्र के दायरे को अब बहुत सीमित कर दिया हैअधिक,2
एबट ने बीजिंग में कहा कि तलाश टीमों ने खोज क्षेत्र को और छोटा कर दिया है,2
एबॉट ने बीजिंग में कहा कि सर्च टीमों ने सर्च जोनिंग को और छोटा कर दिया है,2
आदिवासीबहुल डांग में ज़्यादातर लोग खेती पर निर्भर हैं यहां चर्चा आम है कि बांध बनाने का काम कभी भी श,1
आदिवासी बहुल डांग में ज्यादातर लोग खेती पर निर्भर हैं। यहां यह चर्चा आम है कि बांध का निर्माण कभी पूरा नहीं होगा।,1
आदिवासी बहुल डांग में अधिकांश लोग कृषि पर निर्भर हैं। यहां यह चर्चा आम है कि बांध का निर्माण कभी नहीं रुकेगा।,1
नरेंद्र मोदी पर अपने बयान में नरेश अग्रवाल ने एक आपत्तिजनक शब्द का इस्तेमाल किया हैंनरेश अग्रवाल ने ,1
नरेश अग्रवाल ने नरेंद्र मोदीनरेश अग्रवाल पर अपने बयान में एक आपत्तिजनक खबर का इस्तेमाल किया है,1
नरेश अग्रवाल ने नरेंद्र मोदीनरेश अग्रवाल पर अपने बयानों में आपत्तिजनक शब्द का इस्तेमाल किया है,1
चौंकाने वाली बात इसलिए भी क्योंकि यह बात उन्होंने बलात्कार विरोधी बिल पर मंगलवार को हो रही बहस में क,1
चौंकाने वाली बात इसलिए भी क्योंकि मंगलवार को एंटी रेप बिल पर बहस में उन्होंने यह आरोप लगाया।,1
चौंकाने वाली बात इसलिए भी क्योंकि मंगलवार को एंटी रेप बिल पर चर्चा के दौरान उन्होंने यह बात कही.,1
गुरुवार को इस हड़ताल में विपक्षी पार्टियों के अलावा सरकार का साथ दे रही डीएमके और समाजवादी पार्टी के,1
गुरुवार को हुए इस धरने में विरोधी पार्टियों के अलावा डीएमके और समाजवादी पार्टी सरकार का साथ दे रही है.,1
सोमवार को हुए इस धरने में विपक्षी पार्टियों के अलावा डीएमके और समाजवादी पार्टी सरकार का साथ दे रही है.,1
प्रकाश स्तंभ यानी रोशनी की वो मीनार जो मेरे राजनीतिक मित्रों की ओर मुझे सदा प्रेरित करती रही और मारग,2
लाइटहाउस यानी कैलोरी-फ्री का वह टावर जो मुझे हमेशा अपने राजनीतिक मित्रों की ओर प्रेरित करता है और मुझे रास्ता बताता है।,2
प्रकाश स्तम्भ का अर्थ है प्रकाश का वह स्तम्भ जो मुझे सदैव मेरे नीति मित्रों की ओर प्रेरित करता है और मार्ग सिद्ध करता है।,2
जानेमाने ड्यूक विश्वविद्यालय की इस छात्रा को जब पता चला कि उनके एक दोस्त ने कॉलेज में और लोगों को भी,2
जब ड्यूक यूनिवर्सिटी की यह मशहूर छात्रा जैज में आई तो उसके एक दोस्त ने कॉलेज में दूसरे लोगों से भी छेड़छाड़ की थी,2
जब ड्यूक यूनिवर्सिटी के इस मशहूर छात्र को पता चला कि उसकी एक फ्रैंड ने कॉलेज में और लोगों से भी छेड़छाड़ की है.,2
शिवसेना इसे विपक्षियों द्वारा सांप्रदायिक रंग देने की कोशिश बता रही है तो बीजेपी बग़ले झांक रही हैक्,1
"शिवसेना इसे सांप्रदायिक रंग देने की विपक्ष की कोशिश बता रही है, जबकि बीजेपी इससे मुंह मोड़ रही है.",1
"शिवसेना इसे विपक्ष द्वारा इसे सांप्रदायिक रंग देने की कोशिश बता रही है, जबकि बीजेपी दूसरी राह देख रही है.",1
इंटरनेट पर होने की वजह से इस स्टोर के उत्पाद हर समय उपलब्ध रहते हैंजानकारों का मानना है कि वैध तरीके,0
"इंटरनेट पर होने के कारण, इस स्टोर के उत्पाद हर समय उपलब्ध रहते हैं। विशेषज्ञों का मानना ​​है कि कानूनी तरीके",0
"इंटरनेट पर होने के कारण, इस स्टोर के उत्पाद हर समय उपलब्ध रहते हैं। विशेषज्ञों का मानना ​​है कि कानूनी तरीके",0
एक और जहां गीतकार गुलज़ार को कथित तौर पर सुरक्षा कारणों के चलते अपनी पाकिस्तान यात्रा को अधूरा छोड़क,0
एक और जहां गीतकार गुलज़ार को कथित तौर पर सुरक्षा कारणों से अपनी पाकिस्तान यात्रा को बीच में ही छोड़ना पड़ा।,0
एक और जहां गीतकार गुलज़ार को कथित तौर पर सुरक्षा कारणों से अपनी पाकिस्तान यात्रा बीच में ही रोकनी पड़ी।,0
इसी साल जनवरी में जब उनके घर बेटा पैदा हुआ था तो इसकी खबर कई ऑनलाइन पोर्ट्ल्स ने शेयर की थीपर आलिम ह,0
इसी साल जनवरी में जब उनके घर बेटे का जन्म हुआ तो इसकी खबर कई ऑनलाइन पोर्टल्स ने शेयर की।,0
इस साल जनवरी भर में जब उनके घर बेटे का जन्म हुआ तो इस बात की खबरें कई ऑनलाइन पोर्टल्स के जरिए एक्सचेंज हो रही थीं।,0
बच्चों और किशोरों पर पोर्नोग्राफ़ी के प्रभाव के बारे में ब्रिटेन में जबरदस्त बहस छिड़ी है और यही वजह,2
"ब्रिटेन में बच्चे और किशोरों पर पोर्नोग्राफी के बोझ के बारे में एक बड़ी बहस चल रही है, और यहाँ क्यों है",2
"शिशुओं और किशोरों पर पोर्नोग्राफी के प्रभावों के बारे में ब्रिटेन में एक बड़ी बहस चल रही है, और यहाँ क्यों",2
लेकिन तेज़ी से पैर पसारते इंटरनेट ने एक गंभीर खतरे को भी जन्म दिया है और वो है इंटरनेट पर बच्चों से ,1
लेकिन तेजी से फैल रहा इंटरनेट भी एक गंभीर खतरे की ओर बढ़ रहा है और वह है इंटरनेट पर बच्चों से।,1
लेकिन तेजी से फैल रहे इंटरनेट ने एक गंभीर खतरे को भी जन्म दिया है और वह है इंटरनेट पर बच्चों से।,1
इनमें से 112 तो ऐसे हैं जिन पर हत्या हत्या के प्रयास सांप्रदायिक हिंसा अपहरण और महिलाओं के खिलाफ अपर,1
"इनमें से 112 ऐसे हैं जिन पर हत्या, हत्या के प्रयास, साम्प्रदायिक हिंसा, अपहरण और स्त्रीत्व के खिलाफ अपराध के मामले दर्ज हैं।",1
"इनमें से 112 ऐसे हैं जिन पर हत्या, हत्या के प्रयास, सामूहिक हिंसा, अपहरण और महिलाओं के खिलाफ अपराध का आरोप लगाया गया है।",1
चीन की कम्युनिस्ट पार्टी विश्व की सबसे बड़ी राजनीतिक पार्टी है इसके संविधान में कहा गया है कि पार्टी,2
"चीन की कम्युनिस्ट पार्टी दुनिया की सबसे बड़ी राजनीतिक पार्टी है, इसका संविधान देश है कि पार्टी",2
"चीन की कम्युनिस्ट पार्टी दुनिया की सबसे भव्य राजनीतिक पार्टी है, इसका संविधान कहता है कि पार्टी",2
सोशल मीडिया के महत्व को स्वीकार करते हुए लालू ने माना है कि जीवन में बदलाव ज़रूरी है और इसी क्रम में,1
लालू ने सोशल मीडिया की अहमियत को स्वीकार करते हुए कहा है कि जीवन में और इसी क्रम में बदलाव जरूरी है,1
लालू ने सोशल मीडिया की अहमियत को स्वीकार करते हुए माना है कि जीवन में और इसी क्रम में बदलाव जरूरी है,1
वित्त मंत्री शुक्रवार को लोकसभा में वित्त विधेयक पर हुई चर्चा का जवाब दे रहे थेउन्होंने कहा कि काले ,1
वित्त मंत्री शुक्रवार को लोकसभा में वित्त विधेयक पर चर्चा का जवाब दे रहे थे.,1
वित्त मंत्री शुक्रवार को लोकसभा में वित्त विधेयक पर हुई चर्चा का जवाब दे रहे थे.,1
ओबामा स्वीडन में एक संवाददाता सम्मेलन को संबोधित कर रहे थे ओबामा प्रशासन आजकल सीरिया पर सैन्य कार्रव,2
ओबामा आज स्वीडन में एक संवाददाता सम्मेलन को संबोधित कर रहे थे ओबामा प्रशासन ने आज सीरिया पर सैन्य कार्रवाई की,2
ओबामा आज स्वीडन में एक संवाददाता सम्मेलन को संबोधित कर रहे थे ओबामा प्रशासन ने सीरिया पर सैन्य कार्रवाई की,2
ग़ज़ा में इसराइली हमलों में मरने वाले लोगों की बढ़ती संख्या के बीच सुरक्षा परिषद के सभी 15 सदस्यों न,2
गाजा में इजरायली हमलों से मरने वालों की बढ़ती संख्या के बीच कुल मिलाकर सुरक्षा परिषद के 15 सदस्य मारे गए हैं।,2
गाजा में इस्राइली हमलों से मरने वालों की बढ़ती संख्या के बीच सुरक्षा परिषद के सभी 15 सदस्यों की मौत हो गई है।,2
श्रम मंत्री रह चुके ऐलन मिलबर्न की अगुआई में तैयार की गई यह रिपोर्ट बढ़ती क़ीमतों और स्थिर आय के सच ,2
श्रम मंत्री रहे एलन मिलबर्न के नेतृत्व में तैयार किया गया यह कवर बढ़ते टोल और स्थिर आय का सच है।,2
श्रम मंत्री रहे एलन मिलबर्न के नेतृत्व में तैयार हुई यह रिपोर्ट बढ़ती कीमतों और स्थिर आय के बारे में सच है।,2
भारतीय लोकतांत्रिक प्रक्रिया में शायद ही कभी इस तरह से किसी सीट पर लोगों का और मीडिया का ध्यान एक लं,1
भारतीय लोकतांत्रिक व्यवहार में शायद ही कोई बट इतने लंबे समय तक लोगों और मीडिया का ध्यान आकर्षित करता हो।,1
भारतीय कांगो प्रक्रिया में विरले ही कोई सीट इतने लंबे समय तक लोगों और मीडिया का ध्यान आकर्षित करती है।,1
बाल ठाकरे ने 1966 में शिवसेना का निर्माण किया और मराठी मानुस का मुद्दा उठाया उस समय नौकरियों का अभाव,1
"बाल ठाकरे ने 1966 में शिवसेना का गठन किया और मराठी मानुस के उद्भव को आगे बढ़ाया, उस समय नौकरियों की कमी थी",1
"बाल ठाकरे ने 1966 में शिवसेना का गठन किया और उस समय मराठी मानुस, नौकरियों की कमी का मुद्दा उठाया",1
बीबीसी से ख़ास बातचीत के दौरान किरण बेदी ने कहा कि अपनी बात मनवाने के लिए राम सिंह किसी हद तक जाने व,1
बीबीसी से खास बातचीत के दौरान किरण बेदी ने कहा कि राम सिंह अपनी बात मनवाने के लिए किसी भी हद तक निकल सकते हैं.,1
बीबीसी से खास बातचीत के दौरान किरण बेदी ने कहा कि राम सिंह अपनी बात मनवाने के लिए किसी भी हद तक जा सकते हैं.,1
