headline,label
इतकी टीका होतेय डोणी स्वतहून राजीनामा द्यावा नानांचा चौहानांना सल्लामसलत,2
सुरूवात गिरणगाव महोत्सवाचा दत्ता इस्वलकर अनिता पाटील,2
लालन सारंग यांची रंगमंचावर रिएंट्री,0
अनब्रेकेबल मेरी कॉम,1
राम कदम यांचं नाव दशमुख कदम ठेवा अजित पवार,2
अणेंना दिलगिरी महाराष्ट्राचा केक कापल्याबद्दल मागितली माफी,2
रणवीरदीपिका जूनजुलैमध्ये लग्नबंधनात करणार डेस्टिनेशन वेडिंग,0
सचिन तेंडुलकर होऊन तुम्हीही खेळून शकतात सचिन सागा गेम लाँच,1
ऑस्ट्रेलियाचा विजैया चौकार भारताचा दुसर्‍यांदा लाजिरवाणा पराजय,1
जेव्हा पंकजा मुंडे आणि पूनम महाजन म्हणतात कुछ कुछ होता है,0
पावसासाठी पर्जन्ययज्ञ करायला मरुत शंकराचार्यांचा सल्ला,2
गडकरींच्या राजनितीमुळे शिवसेना रुष्ट,2
गुजरातच्या निवडणूक निकालांचा अन्वयार्थ काय,2
युतीचे शासनपद्धती आणूच फडणवीस,2
VIDEO बॉलिवूडच्या या सेलिब्रिटीजकडून शिकून घ्या अंदाजपत्रक,0
संजय दत्तला करायचंय माधुरीशी विवाह,0
वेस्ट इंडीजच्या या खेळाडूने विवियन रिचर्डसला टाकलं आधी केला हा विक्रमादित्य,1
पावसामुळे राज्यातील धरणं भरू लागली,2
फडणवीस म्हणतात राजकारणातही भरपूर रेडे आहेत इसाळ,2
सैन्य संपलीय शर नाव मीच काढून आणलाय राणे,2
प्रार्थना किया है कधीच नाही शक्तीप्रदर्शन शिबाड कधीच नाही निमुटपणे,2
आदिवासी वर्गात आरक्षण मिळवण्यासाठी धनगर वर्ग आक्रमक,2
अमिताभ बच्चन यांच्या अनधिकृत बांधकामाला एमआरटीपीची नोटीस,0
शेवटास त्या नरभक्षक वाघाचा खात्मा,2
अग्निशमन दलावरचा अॅक्शनपट अग्निपंख,0
विराट कोहलीला चौथ्यांदा मिळणार बीसीसीआयचा सर्वात भव्य पुरस्कार,1
आरबीआयचे गव्हर्नर उर्जित पटेल यांचा राजीनामा,2
मामा झगडा सरशी चव्हाणांना भेटण्यावरून जितेंद्र जोशीने सचिन कुंडलकरला फटकारलं,0
आणि त्यासाठी सलमान त्याचे सिनेमे ईदलाच प्रदर्शित करतो,0
उत्तर दिशा कोकण वर्ध्यातही मराठा मूक मोर्चा,2
VIDEO लोकलचे खडखडणारे रुळअस्वस्थ चित्त डोंबिवली रिटर्नचा टीझर लाँच,0
मिलिंद एकबोटेंना अंत जामीन मंजूर,2
नाशिकमध्ये विद्याथिर्नीवर सामूहिक जबरदस्ती,2
बॉलिवूडमध्ये सिनेमाच्या पोस्टरवर क्रिएटिव्हिटी झिरो,0
अशीही पाणीचोरी सरळ अग्निशमन दलाची गाडीच बोलावली घरी,2
ओबामांच्या पहिल्याच कलाकृतीसाठी प्रिया स्वामीनाथनला पसंती,0
शिवाजी अंडरग्राऊंडला हिंदुत्ववादी संघटनेचा अडथळा,2
मला जो कडवट अनुभव आलातो अजितसुप्रियांच्या वाट्याला येऊ नये पंकजा मुंडे,2
पत्नी आणि मुलीचा हत्या करून पतीने केली आत्महत्या,2
स्पेशल रिपोर्ट सनदी बाबू रिटायर होत न व्यंजन,2
अण्णा हजारेंना दीनानाथ मंगेशकर जीवनगौरव,0
विम्याच्या पैशासाठी चैतन्यची वध आईने दिली कबुली,2
भीमा कोरेगाव गोष्ट राज्यविषयक लोकांनी समजूनउमजून घडवलंमा गाय चिकित्सक,2
परळीमध्ये गोपीनाथगडाचं लोकार्पण,2
शिर्डीत रामनवमीचा जोश दर्शनासाठी आज रात्रभर खुलं राहणार मंदिर,2
मुंबईला पोहचताच शाहरुखने सर्वात अधी घेतली तिची गाठ,0
सातार्‍याचे कर्नल महाडिक सीमेवर शहीद उद्या होणार अंत्यसंस्कार,2
राज्यात स्वाईन शीतज्वर अता ठार नियंत्रणाखाली सावंत,2
अपरिमित शहा एकदम मुंबई भेटीवर मंत्रिमंडळ पसारा होणार का,2
गडकरी त्या वक्तव्यावर अजूनही गतिहीन म्हणतात पडाव देशाचे 40 सहस्र कोटी वाचतील,2
प्लास्टिक बंदीची पहिली इयत्ता कारवाई लोणावळ्याच्या वाईन शाॅपला X हजाराचा भुर्दंड,2
जाने भी दो यारोचे दिग्दर्शक कुंदन शहा काळाच्या पडद्याआड,0
नाशिकमध्ये आसाराम बापूच्या आश्रमावर हातोडा,2
अंबाबाईच्या गाभाऱ्यात सीसीटीव्ही कॅमेऱ्याला पुजाऱ्यांचा विरोध,2
जाचपंचायत वीस वर्षांपासून गोरीवले जाया गावाबाहेर,2
प्रथम आमिरसोबत जोडलं गेलं डोंगा ह्या वेळी बनली शाहरुखची हिराॅइन,0
सफारी मिक्टाची,0
शहीद चंद्रकेतू गलंडेंवर लष्करी इतमामात अंत्यसंस्कार,2
युपीएससीचे प्रतिफळ प्रकट उस्मानाबादचा गिरीश बडोले राज्यात पूर्वीचा,2
धावत्या कारमध्ये पतीने केली पत्नीची हत्या,2
टोलचा जन्मदाता कोण आरआरपाटील,2
आणि सलमानला रडू फुटलं,0
पाकिस्तान वर्ल्डकपबाहेर रविवारी भारतऑस्ट्रेलियामध्ये क्वार्टरफायनल,1
लय शिक्षणार्थी जिंकले आजपासून पाचही मॉडेल पाठशाळा सुरू,2
भाऊबंद आणि व्ययसायक वापरासाठी साखरेचे २ किंमत,2
Video आज्ञा भाऊजींसोबत विक्रांत सरंजामेगुरू आणि राधिका झाले झिंगाट,0
काय आहे बजेटकडून तुमच्या अपेक्षा कमेंट करा,2
तापी मेगा प्रकल्पाला केंद्राची होकार राज्यातील चौघे लाख हेक्टर कानन येणार सिंचनाखाली,2
राज्यातील रखडलेले एकशे सात प्रोक्षण प्रकल्प मार्गी लागणार मुख्यमंत्री,2
नागपुरात स्वाईन फ्लूचे बाहेरील 2 बळी_देणे मृतांची संख्या तीस मदतीने,2
दुष्काळावर पराजय मेलेला नदीलाच दिले जीवदान,2
अफलातून फिल्डिंग पैज सोशल मीडियवर चर्चा क्रिकेटच्या या नियमाची,1
सोनाली कुलकर्णीच्या फिटनेसचं गुपित दडलंय भाकरी आणि टेकडीत,0
वेंटली लाॅसचा प्रयत्न अंगाशी महिलेच्या मेंदुला इजा,2
असा हा डॉग शो,2
ढोली ताशांच्या गजरात पाचही मानाच्या गणपतींची जुलूस सुरू,2
अवनीला ठार मारणं म्हणजे शीतल डोक्यानं तिचा केलेला खूनच,2
अबरामचं गर्भलिंग निदनापक्ष केलं ना,0
महायुती अडकली मुंडेगडकरी वादात,2
ती फुलराणी पुन्हा रंगमंचावर,0
सुद्धा सजा केवळ कलाकारालाच का प्रियांका चोप्राचा सवाल,0
VIDEO मद्रास एक्स्प्रेसमध्ये बॉम्बची अफवाबेवारस सुटकेसमध्ये सापडली गॅसबत्ती,2
सलीमभाईची मनसे गोसेवा,2
कांपिल्य नगर शर्माची मंडळी आता कसौटी जिंदगी की 2मध्ये,0
खंडाळा घाटात दुधाचा टँकर डिव्हायडरला धडकला चालकाचा जागीच देवाज्ञा,2
सचिन तेंडुलकरही रिओ ऑलिम्पिकसाठी गुडविल अॅम्बेसेडर,1
मुख्यमंत्री फडणवीस विदेश दौऱ्यावर राज्याची दायित्व या ३ मंत्र्यांवर,2
प्रेक्षकांचे बाप्पा ( ६ ),0
कृषक पती नको गं बया ग्रामीण भागात ३ हजार तरुणांचे विवाह समारंभ रखडले,2
संजय दत्तला 8 महिन्याआधी का सोडलं हायकोर्टाने राज्य सरकारकडे मागितला खुलासा,0
VIDEO अरे तो बुडतोयपण काकासाहेबाला वाचावला कुणीच आलं नाही,2
शिवसेनेला सत्ता मिळाली न तरी चालेल होड भाजप नको उद्धव ठाकरेंची रणनीती,2
व्हॅलेंटाईन डेचा अस्वीकार ह्यामुळे बजरंग दलाने लावलं गाढवाचं विवाह,2
खंडेरायाच्या पुरुषांचा दसरा सोहळ्याची तड,2
सनी लिओनीच्या बोल्ड लुकचं गुपित आहे या माणसाच्या हाती,0
भारताचा दआफ्रिकेवर दणदणीत विजयमालिकाही खिश्यात,1
पोलिस विभाग बंदोबस्तात पद्मावत राज्यभरात प्रदर्शित सारा शोज हाऊसफुल्ल,2
कोकण रेल्वेचं धेंगर वेळापत्रक आजपासून लागू,2
रितेश आणि रवीचा बॅन्जो,0
LIVE # शेतकरीसंपावर समस्त अपडेट्स एकाच पेजवर,2
हाफ गर्लफ्रेंड मैत्रिणीपेक्षा जास्तगर्लफ्रेंडपेक्षा कमीपणा,0
हाफ गर्लफ्रेंडमुळे चेतन भगतला मागावी लागली क्षमा,0
VIDEO आंदोलकांकडून भाजपला जशास तसं उत्तर दिशा स्टंट करून समजावला दूरपणा,2
यापुढे काँग्रेसच्या उमेदवारांनी घेतली संविधानाची आण,2
केडीएमसीसाठी काँग्रेसराष्ट्रवादीची अघाडी 5641चा फॉर्म्युला,2
एक्स्प्रेस वेवर वाहतूक कोंडीचे पाठवा क्ष-किरण,2
विद्यार्थिनीशी असंबद्ध चाळे करणारा शिक्षक गजाआड,2
अभिग्यान महोत्सवात डाॅ उदय निरगुडकर यांचं विद्यार्थ्यांना मार्गदर्शन,2
अण्णांनी उपोषण माघे घ्यावं थोरात,2
VIDEO नवनीत राणांची शिवसेना गुराखी अडसूळ यांच्याविरोधात कोर्टात वागणे,2
माइंड इटथलाइवा वडाळ्यात चाहत्यांच्या उड्या,0
राज्यातल्या VI जिल्ह्यांना फ्लोरोसिसचा घेरा,2
राजेश श्रृंगारपुरे म्हणाला माझं आणि रेशमचं नात म्हणजे,0
VIDEO कुठली साखळी आहे नंबर वनम # TRPमीटर काय सांगतोय बघा,0
हृतिक रोशन आणि सुझान दुबार कधी लग्नबंधनात सूत्रांची माहिती,0
कोल्हापूरमध्ये संततधार 30 गावांचा संपर्क तुटला,2
राज्यात कडाक्याची शिळकंबा मुंबईसह उत्तर भाग महाराष्ट्राचं तपमान घसरलं,2
युवराज ऑफ पटियालच्या मागेच राहिला मही शॉ कदापि तोडू शकणार न हा रेकॉर्ड,1
पुणे समलैंगिक संबंधाला विरोध दिल्याने तरुणावर चाकू चाल,2
राज ठाकरेंनी उद्घाटन केलेल्या कार्यालयाची तोडफोड,2
मनालीत कंगनाचा एक बंगला बने न्यारा,0
युट्यूबद्वारे प्रियांका चोप्रा सुरू करणार ट्रॅव्हल शो हे आहे ख्याती,0
अहमदनगरमध्ये बहुजन क्रांती मोर्चा,2
अशी रंगली भैरवीची मंगळागौर,0
ICC Womens World T20 हिन्दुस्तानी महिला टीमने पाकचा उडवला धुव्वा,1
कोल्हापूर पालिका पोटनिवडणुकीत भाजप ताराराणी आघाडीचा विजय,2
चेन्नईत होतोय करुणानिधींचा 95वा वाढदिवस साजरा,2
NEWS18 LOKMAT IMPACT पिंपरीत 48 प्रत खर्च करून उभारणाऱ्या संतपीठाच्या कामाला स्थगिती,2
VIDEO सलमान खाननं रितेशच्या माऊलीचा ट्रेलर केला ट्विट तुम्ही पाहिलात का,0
 मी पळून गेलो न व्यंजन मला पळवून लावलंसदाभाऊ खोतांचा शेट्टींना टोला,2
धोणींचा विनिंग चौकार पुण्याचा हैदराबादवर फत्ते,1
आबांच्या मुलीचं लग्न पाणावलेले डोळे आणि ‘दादा’ ‘ताईं’ची आटाआट,2
IBN लोकमतच्या बातमीचा इम्पॅक्ट आंबेगव्हाण गावातील विद्यार्थ्यांचा चिंता संपला,2
सचिनच्या शेवटच्या मॅचवर 800 कोटींचा सट्टा,1
कपूर अॅण्ड सन्सच्या टीमशी गप्पा,0
इंग्लंडचा भारतावर दणदणीत सरशी,1
विराट जडेजा रोहित न तर हा आहे भारताचा नंबर वन फिल्डर,1
VIDEO कडेकोट बंदोबस्तात भीमाकोरेगावमध्ये लाखो अनुयायी दाखल,2
नरपती मोदींचा आज पुणे दौरा,2
निशापति मिलवरच्या बाबासाहेबांच्या स्मारकाचं 2020 मध्ये लोकापर्ण मुख्यमंत्री,2
शरद पवारांची दिवाळी बारामतीत साजरी,2
VIDEO भरमैदानात या माजी क्रिकेटरची फाटली पॅन्ट,1
17व्या एशियन गेम्सचं आज होणार उद्घाटन,1
शहा उद्धव राहिले बाजूला जानकरांनीच केला युतीबाबत थोर पडदाफाश,2
उमेदवारीमुळे भुजबळ नाखूश येवल्यात कडकडीत दोरी,2
शिव जानकर यांचा आमदारकीचा राजीनामा,2
पुण्याच्या महापौरपदी पहिल्यांदाच भाजपच्या मुक्ता लोकमान्य बाळ गंगाधर टिळक यांची निवड,2
हिमायत बेगच्या फाशीचा आज हायकोर्टात फैसला,2
पार्च्डच्या टीमशी चमत्कारिक गप्पा,0
बुलडाण्यात एकाच कुटुंबातील चौघांनी केलं विषप्राशन तिघांचा चिरनिद्रा,2
जब हॅरी मेट सेजलची पहिल्या दिवशी १६ तारीख कोटीची उत्पादित,0
